


更新时间,#genre#

删除WEB源用酷9更好,https://radio.pull.hebtv.com/live/hebxw.m3u8
6月29日更新,https://txmov2.a.kwimgs.com/upic/2023/06/18/23/BMjAyMzA2MTgyMzE1MjBfMzQ4MzI0MjA1OF8xMDU4Nzc4MzAzNjZfMF8z_b_B386baa1bb2c0c48626a830ff69393771.mp4






体育频道,#genre#
CCTV5,http://82.156.243.185:36888/av3a/cctv5.m3u8
CCTV5,http://82.156.243.185:36888/av3a/cctv5n.m3u8
CCTV5,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5
CCTV5,http://60.10.139.113:8801/hls/5/index.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5,http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV5+,http://82.156.243.185:36888/av3a/cctv5p.m3u8
CCTV5+,http://82.156.243.185:36888/av3a/cctv5pn.m3u8
CCTV5+,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p
CCTV5+,http://60.10.139.113:8801/hls/15/index.m3u8
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8

央视频道,#genre#

CCTV1,http://183.233.155.69:8001/608807420
CCTV2,http://183.233.155.69:8001/631780532
CCTV3,http://183.233.155.69:8001/624878271
CCTV4,http://183.233.155.69:8001/631780421
CCTV5,http://183.233.155.69:8001/641886683
CCTV5+,http://183.233.155.69:8001/641886773
CCTV6,http://183.233.155.69:8001/624878396
CCTV7,http://183.233.155.69:8001/673168121
CCTV8,http://183.233.155.69:8001/624878356
CCTV9,http://183.233.155.69:8001/673168140
CCTV10,http://183.233.155.69:8001/624878405
CCTV11,http://183.233.155.69:8001/667987558
CCTV12,http://183.233.155.69:8001/673168185
CCTV13,http://183.233.155.69:8001/608807423
CCTV14,http://183.233.155.69:8001/624878440
CCTV15,http://183.233.155.69:8001/673168223
CCTV17,http://183.233.155.69:8001/673168256

CCTV1,http://207.56.13.146:81/cdnlive/cctv1.m3u
CCTV2,http://207.56.13.146:81/cdnlive/cctv2.m3u8
CCTV3,http://207.56.13.146:81/cdnlive/cctv3.m3u8
CCTV4,http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV6,http://207.56.13.146:81/cdnlive/cctv6.m3u8
CCTV7,http://207.56.13.146:81/cdnlive/cctv7.m3u8
CCTV8,http://207.56.13.146:81/cdnlive/cctv8.m3u8
CCTV9,http://207.56.13.146:81/cdnlive/cctv9.m3u8
CCTV10,http://207.56.13.146:81/cdnlive/cctv10.m3u8
CCTV11,http://207.56.13.146:81/cdnlive/cctv11.m3u8
CCTV12,http://207.56.13.146:81/cdnlive/cctv12.m3u8
CCTV13,http://207.56.13.146:81/cdnlive/cctv13.m3u8
CCTV14,http://207.56.13.146:81/cdnlive/cctv14.m3u8
CCTV15,http://207.56.13.146:81/cdnlive/cctv15.m3u8
CCTV16,http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV17,http://207.56.13.146:81/cdnlive/cctv17.m3u8

CCTV1,http://124.77.202.8:49155/608807420
CCTV2,http://124.77.202.8:49155/631780532
CCTV3,http://124.77.202.8:49155/624878271
CCTV4,http://124.77.202.8:49155/631780421
CCTV5,http://124.77.202.8:49155/641886683
CCTV5+,http://124.77.202.8:49155/641886773
