MoMo更新,#genre#
2026-07-14 11:44:50,https://my9.ltd/momo-480.mp4
Plus综合Pdtv,http://rihou.cc:555/tv/[Pd]Plus综合
凤凰中文Pdtv,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯Pdtv,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港Pdtv,http://rihou.cc:555/tv/[Pd]凤凰香港
有线新闻Pdtv,http://rihou.cc:555/tv/[Pd]有线新闻
有线综合Pdtv,http://rihou.cc:555/tv/[Pd]有线综合
有线亚剧Pdtv,http://rihou.cc:555/tv/[Pd]有线亚剧
无线新闻Pdtv,http://rihou.cc:555/tv/[Pd]无线新闻
无线翡翠Pdtv,http://rihou.cc:555/tv/[Pd]无线翡翠
无线翡翠4Ktv,http://rihou.cc:555/tv/[Pd]无线翡4K
无线华丽Pdtv,http://rihou.cc:555/tv/[Pd]无线华丽
无线明珠Pdtv,http://rihou.cc:555/tv/[Pd]无线明珠
无线星河Pdtv,http://rihou.cc:555/tv/[Pd]无线星河
无线功夫Pdtv,http://rihou.cc:555/tv/[Pd]无线功夫
澳视澳门Pdtv,http://rihou.cc:555/tv/[Pd]澳视澳门
澳视卫星Pdtv,http://rihou.cc:555/tv/[Pd]澳视卫星
澳门体育Pdtv,http://rihou.cc:555/tv/[Pd]澳门体育
澳门综艺Pdtv,http://rihou.cc:555/tv/[Pd]澳门综艺
澳门莲花Pdtv,http://rihou.cc:555/tv/[Pd]澳门莲花
央视综合Pdtv,http://rihou.cc:555/tv/[Pd]央视综合
重温经典Pdtv,http://rihou.cc:555/tv/[Pd]重温经典
龙华电影Pdtv,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典Pdtv,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像Pdtv,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩Pdtv,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华戏剧Pdtv,http://rihou.cc:555/tv/[Pd]龙华戏剧
CHU综合Pdtv,http://rihou.cc:555/tv/[Pd]CHU综合
CH5综合Pdtv,http://rihou.cc:555/tv/[Pd]CH5综合
CH8综合Pdtv,http://rihou.cc:555/tv/[Pd]CH8综合
八度空间Pdtv,http://rihou.cc:555/tv/[Pd]八度空间
景区直播,#genre#
北京怀柔黄花城水长城,https://gcalic.v.myalicdn.com/gc/wgw01_1/index.m3u8
北京密云古北水镇,https://gctxyc.liveplay.myqcloud.com/gc/dlst03_1/index.m3u8
北京门头沟清水镇黄安坨村,https://gctxyc.liveplay.myqcloud.com/gc/lpsgmjng01_1/index.m3u8
安徽黄山风景区卧云峰,https://gctxyc.liveplay.myqcloud.com/gc/wgw02_1/index.m3u8
安徽黄山风景区飞来石,https://gctxyc.liveplay.myqcloud.com/gc/hsptgy_1/index.m3u8
江苏南京玄武湖景区,https://gctxyc.liveplay.myqcloud.com/gc/xwh01_1/index.m3u8
江苏徐州之夜,https://gctxyc.liveplay.myqcloud.com/gc/hspyt_1/index.m3u8
浙江嘉兴乌镇,https://gctxyc.liveplay.myqcloud.com/gc/zjwzblt_1/index.m3u8
浙江舟山东极岛,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8
浙江温州泰顺县廊桥文化园,https://gcalic.v.myalicdn.com/gc/cntv411-zbzg_1/index.m3u8
浙江舟山嵊泗县中心渔港,https://gctxyc.liveplay.myqcloud.com/gc/emsyh_1/index.m3u8
广东韶关车八岭自然保护区,https://gctxyc.liveplay.myqcloud.com/gc/zjjjjdl_1/index.m3u8
广东汕头公园,https://gctxyc.liveplay.myqcloud.com/gc/bsszjs_1/index.m3u8
山东青岛艾山天文台,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8
湖北武汉黄鹤楼,https://gctxyc.liveplay.myqcloud.com/gc/djyqyl1_1/index.m3u8
湖南邵阳崀山风景名胜区,https://gctxyc.liveplay.myqcloud.com/gc/hkts02_1/index.m3u8

财经凤凰,#genre#
第一财经HD,http://218.81.49.34:10010/rtp/233.18.204.65:5140
第一财经HD,http://218.81.49.34:10010/rtp/233.18.204.59:5140
第一财经SD,http://218.81.49.34:10010/rtp/233.18.204.5:5140
第一财经HD,http://116.233.67.80:8899/rtp/233.18.204.65:5140
第一财经HD,http://116.233.67.80:8899/rtp/233.18.204.59:5140
第一财经SD,http://116.233.67.80:8899/rtp/233.18.204.5:5140
深圳财经生活,http://183.47.2.156:16883/udp/239.77.1.242:5146
CCTV-2财经,http://183.47.2.156:16883/udp/239.77.1.158:5146
深圳财经生活,http://183.236.43.98:4013/udp/239.77.1.242:5146
CCTV-2财经,http://183.236.43.98:4013/udp/239.77.1.158:5146
北京财经频道,http://221.218.13.150:8000/rtp/239.3.1.116:8000
CCTV-2财经,http://221.218.13.150:8000/rtp/239.3.1.60:8084
北京财经频道,http://222.128.26.62:4001/rtp/239.3.1.116:8000
CCTV-2财经,http://222.128.26.62:4001/rtp/239.3.1.60:8084
第一财经HD,http://222.95.12.2:4022/rtp/239.49.8.37:8000
东方财经HD,http://222.95.12.2:4022/rtp/239.49.0.95:8000
CCTV-2财经,http://175.0.64.97:8888/udp/239.76.253.152:9000
凤凰中文,http://175.0.64.97:8888/udp/239.76.253.134:9000
凤凰资讯,http://175.0.64.97:8888/udp/239.76.253.135:9000
上海东方财经,http://175.0.64.97:8888/udp/239.76.254.69:9000
CCTV-2财经,http://175.0.64.97:8888/udp/239.76.246.152:1234
凤凰中文,http://175.0.64.97:8888/udp/239.76.246.134:1234
凤凰资讯,http://175.0.64.97:8888/udp/239.76.246.135:1234
凤凰中文HD,http://182.135.66.163:18888/rtp/239.94.2.51:5140
凤凰中文HD,http://182.135.66.163:18888/rtp/239.94.2.52:5140
