更新时间: 2026-07-17 14:21:31（北京时间）仅供娱乐,切勿商用。
2026-07-17 14:21:31,http://kakaxi.indevs.in/Disclaimer.mp4
CCTV4欧洲,http://8.153.110.51:3020/608807419
CCTV4欧洲,http://182.127.153.119:1234/608807419
CCTV4欧洲,http://14.153.176.108:1234/608807419
CCTV4欧洲,http://182.61.15.47:80/608807419
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=e9ce1986c7b42a737399da315490cc60&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20260717132049&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=39.103.188.159&SecurityKey=20260717132049&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=c31da5e3fec019bee1b60a051522945b&ddCalcu=bc53v41a9dy2aa255e135f0eac0061b91bee&sv=10004&ct=android
CCTV4欧洲,http://110.154.192.66:7788/608807419
CCTV4欧洲,http://27.12.12.183:1234/608807419
CCTV4欧洲,http://116.236.204.18:1234/608807419
CCTV4欧洲,http://175.178.243.33:8787/608807419
CCTV4欧洲,http://223.247.25.207:1234/608807419
CCTV4欧洲,http://119.88.243.98:17231/608807419
CCTV4欧洲,http://101.6.130.52:1234/608807419
CCTV4美洲,http://27.12.12.183:1234/608807416
CCTV4美洲,http://8.153.110.51:3020/608807416
CCTV-4K 高清,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1784322000-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-aa68fb06c12f53b71a4d170807f32df5&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
CCTV4美洲,http://110.154.192.66:7788/608807416
CCTV4美洲,http://14.153.176.108:1234/608807416
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CCTV4美洲,http://223.247.25.207:1234/608807416
CCTV4美洲,http://182.61.15.47:80/608807416
